Postcode,Dwelling Types,Number of Bedrooms,"First Quartile Weekly Rent for New Bonds
$","Median Weekly Rent for New Bonds
$","Third Quartile Weekly Rent for New Bonds
$","New Bonds Lodged
No.","Total Bonds Held
No.",Quarterly change in Median Weekly Rent,Annual change in Median Weekly Rent,Quarterly change in New Bonds Lodged,Annual change in New Bonds Lodged,Month,Year
2008,House,2 Bedrooms,,,,,57,,,,,12,2017
2008,House,3 Bedrooms,862.5,980,1050,,50,8.89,18.07,-8.33,83.33,12,2017
2008,House,4 or more Bedrooms,,,,,,,,,,12,2017
2008,Other,Total,420.75,467,569,300,1868,3.09,6.140000000000001,-18.26,6.38,12,2017
2008,Other,Bedsitter,422,445,467,111,722,2.53,5.949999999999999,-39.67,32.14,12,2017
2008,Other,1 Bedroom,376.5,469,579.25,132,557,3.3000000000000003,4.45,22.220000000000002,-20.48,12,2017
2008,Other,Not Specified,569,569.5,600,50,509,0.09,-1.81,-31.509999999999998,66.67,12,2017
2008,Other,2 Bedrooms,,,,,50,,,,,12,2017
2008,Other,3 Bedrooms,,,,,,,,,,12,2017
2008,Other,4 or more Bedrooms,,,,,,,,,,12,2017
2008,Townhouse,Total,460,750,975,,232,13.639999999999999,13.209999999999999,-45.16,-50.0,12,2017
2008,Townhouse,Bedsitter,,,,,,,,,,12,2017
2008,Townhouse,1 Bedroom,,,,,,,,,,12,2017
2008,Townhouse,Not Specified,,,,,,,,,,12,2017
2008,Townhouse,2 Bedrooms,,,,,76,,,,,12,2017
2008,Townhouse,3 Bedrooms,,,,,60,,,,,12,2017
2008,Townhouse,4 or more Bedrooms,,,,,49,,,,,12,2017
2008,Flat/Unit,Total,445.25,510,636,358,2265,-11.3,-15.0,10.15,60.540000000000006,12,2017
2008,Flat/Unit,Bedsitter,,,,,69,,,,,12,2017
2008,Flat/Unit,1 Bedroom,443,478,589,290,1312,-9.81,-18.98,28.32,113.24000000000001,12,2017
2008,Flat/Unit,Not Specified,482.5,565,600,,246,-10.32,2.73,-17.65,-48.15,12,2017
2008,Flat/Unit,2 Bedrooms,702.5,810,880,40,553,8.0,17.39,-36.51,-16.669999999999998,12,2017
2008,Flat/Unit,3 Bedrooms,,,,,81,,,,,12,2017
2008,Flat/Unit,4 or more Bedrooms,,,,,,,,,,12,2017
2009,Total,Total,632.5,772.5,957.5,282,2784,3.6900000000000004,7.290000000000001,21.55,11.459999999999999,12,2017
2009,Total,Bedsitter,,,,,,,,,,12,2017
2009,Total,1 Bedroom,550,597.5,650,96,824,-0.42,3.02,9.09,9.09,12,2017
2009,Total,Not Specified,,,,,252,,,,,12,2017
2009,Total,2 Bedrooms,750,830,955,139,1372,6.41,9.21,27.52,16.81,12,2017
2009,Total,3 Bedrooms,1045,1250,1500,32,303,9.65,8.7,77.78,18.52,12,2017
2009,Total,4 or more Bedrooms,,,,,,,,,,12,2017
2009,House,Total,,,,,41,,,,,12,2017
2009,House,Bedsitter,,,,,,,,,,12,2017
2009,House,1 Bedroom,,,,,,,,,,12,2017
2009,House,2 Bedrooms,,,,,,,,,,12,2017
2009,House,3 Bedrooms,,,,,,,,,,12,2017
2009,House,4 or more Bedrooms,,,,,,,,,,12,2017
2009,Other,Total,,,,,276,,,,,12,2017
2009,Other,Bedsitter,,,,,,,,,,12,2017
2009,Other,1 Bedroom,,,,,57,,,,,12,2017
2009,Other,Not Specified,,,,,129,,,,,12,2017
2009,Other,2 Bedrooms,,,,,74,,,,,12,2017
2009,Other,3 Bedrooms,,,,,,,,,,12,2017
2009,Other,4 or more Bedrooms,,,,,,,,,,12,2017
2009,Townhouse,Total,,,,,88,,,,,12,2017
2009,Townhouse,1 Bedroom,,,,,,,,,,12,2017
2009,Townhouse,Not Specified,,,,,,,,,,12,2017
2009,Townhouse,2 Bedrooms,,,,,46,,,,,12,2017
2009,Townhouse,3 Bedrooms,,,,,,,,,,12,2017
2009,Townhouse,4 or more Bedrooms,,,,,,,,,,12,2017
2009,Flat/Unit,Total,625,775,980,261,2379,3.3300000000000005,7.64,29.849999999999998,22.54,12,2017
2009,Flat/Unit,Bedsitter,,,,,,,,,,12,2017
2009,Flat/Unit,1 Bedroom,550,595,650,91,753,-0.83,2.59,19.74,10.979999999999999,12,2017
2009,Flat/Unit,Not Specified,,,,,122,,,,,12,2017
2009,Flat/Unit,2 Bedrooms,750,840,980,127,1234,7.6899999999999995,9.45,28.28,17.59,12,2017
2009,Flat/Unit,3 Bedrooms,1062.5,1250,1500,31,252,8.7,8.7,106.67,47.620000000000005,12,2017
2009,Flat/Unit,4 or more Bedrooms,,,,,,,,,,12,2017
2010,Total,Total,520,650,845,783,8267,0,0,-2.73,-2.6100000000000003,12,2017
2010,Total,Bedsitter,337.5,380,428.75,60,526,2.7,0,17.65,114.29,12,2017
2010,Total,1 Bedroom,500,580,650,374,3291,0,3.5700000000000003,-7.199999999999999,9.36,12,2017
2010,Total,Not Specified,431.25,585,808.75,60,1446,0.86,6.36,9.09,-58.040000000000006,12,2017
2010,Total,2 Bedrooms,712.5,810,920,195,2193,1.25,1.8900000000000001,-10.14,-7.140000000000001,12,2017
2010,Total,3 Bedrooms,972.5,1090,1250,72,582,9.0,9.0,20.0,33.33,12,2017
2010,Total,4 or more Bedrooms,1060,1185,1375,,229,-8.85,-8.14,15.790000000000001,-18.52,12,2017
2010,House,Total,691.25,1010,1218.75,78,392,31.169999999999998,3.5900000000000003,-1.27,188.89000000000001,12,2017
2010,House,Bedsitter,,,,,,,,,,12,2017
2010,House,1 Bedroom,550,595,640,,55,-11.19,0.8500000000000001,-13.33,550.0,12,2017
2010,House,Not Specified,,,,,,,,,,12,2017
2010,House,2 Bedrooms,700,800,900,,124,6.67,-7.249999999999999,-46.87,325.0,12,2017
2010,House,3 Bedrooms,1038.75,1160,1252.5,32,118,24.73,18.37,68.42,300,12,2017
2010,House,4 or more Bedrooms,,,,,58,,,,,12,2017
2010,Other,Total,400,570,820,61,1624,-5.0,-4.2,-6.15,-59.330000000000005,12,2017
2010,Other,Bedsitter,,,,,165,,,,,12,2017
2010,Other,1 Bedroom,415,565,680,,381,-0.44,7.62,0,-71.43,12,2017
2010,Other,Not Specified,438.75,592.5,836.25,,754,-8.85,2.6,23.810000000000002,-58.06,12,2017
2010,Other,2 Bedrooms,,,,,233,,,,,12,2017
2010,Other,3 Bedrooms,,,,,63,,,,,12,2017
2010,Other,4 or more Bedrooms,,,,,,,,,,12,2017
2010,Townhouse,Total,746.25,875,1047.5,50,610,4.17,2.94,4.17,-10.71,12,2017
2010,Townhouse,Bedsitter,,,,,,,,,,12,2017
2010,Townhouse,1 Bedroom,,,,,67,,,,,12,2017
2010,Townhouse,Not Specified,,,,,33,,,,,12,2017
2010,Townhouse,2 Bedrooms,746.25,827.5,936.25,,201,0.91,3.7600000000000002,-26.32,-12.5,12,2017
2010,Townhouse,3 Bedrooms,856.25,960,1047.5,,197,3.2300000000000004,-1.29,20.0,12.5,12,2017
2010,Townhouse,4 or more Bedrooms,,,,,106,,,,,12,2017
2010,Flat/Unit,Total,500,625,760,594,5641,-0.79,-2.34,-3.1,4.03,12,2017
2010,Flat/Unit,Bedsitter,340,390,445,47,347,4.0,5.41,27.029999999999998,147.37,12,2017
2010,Flat/Unit,1 Bedroom,500,580,650,337,2788,0,3.5700000000000003,-7.42,18.66,12,2017
2010,Flat/Unit,Not Specified,410,550,712.5,31,630,2.8000000000000003,10.0,-6.0600000000000005,-55.06999999999999,12,2017
2010,Flat/Unit,2 Bedrooms,720,810,920,155,1635,-1.22,1.25,2.65,-7.739999999999999,12,2017
2010,Flat/Unit,3 Bedrooms,1000,1100,1295,,204,-8.33,-8.33,-16.0,-4.55,12,2017
2010,Flat/Unit,4 or more Bedrooms,,,,,37,,,,,12,2017
2011,Total,Total,440,565,750,647,7088,4.63,7.62,-6.370000000000001,-14.19,12,2017
2011,Total,Bedsitter,380,410,478.75,70,1091,2.5,7.89,-32.04,-24.73,12,2017
2011,Total,1 Bedroom,440,530,620,365,2893,1.92,-2.3,6.1,29.43,12,2017
2011,Total,Not Specified,387.5,487.5,657.5,56,1323,-1.02,21.88,-24.32,-74.19,12,2017
2011,Total,2 Bedrooms,720,800,985,135,1469,0,0,-2.88,-1.46,12,2017
2011,Total,3 Bedrooms,1320,1572.5,1700,,270,14.360000000000001,6.61,-33.33,-25.0,12,2017
2011,Total,4 or more Bedrooms,,,,,42,,,,,12,2017
2011,House,Total,400,625,797.5,,115,48.809999999999995,5.04,-36.11,155.56,12,2017
2011,House,Bedsitter,,,,,,,,,,12,2017
2011,House,1 Bedroom,365,410,707.5,,48,5.13,-19.61,-35.29,120.0,12,2017
2011,House,Not Specified,,,,,,,,,,12,2017
2011,House,2 Bedrooms,,,,,,,,,,12,2017
2011,House,3 Bedrooms,,,,,,,,,,12,2017
2011,House,4 or more Bedrooms,,,,,,,,,,12,2017
2011,Other,Total,390,550,718.75,50,1016,10.549999999999999,39.24,13.639999999999999,-42.53,12,2017
2011,Other,Bedsitter,,,,,181,,,,,12,2017
2011,Other,1 Bedroom,,,,,178,,,,,12,2017
2011,Other,Not Specified,391.25,525,737.5,,533,6.0600000000000005,45.83,20.0,-38.78,12,2017
2011,Other,2 Bedrooms,,,,,105,,,,,12,2017
2011,Other,3 Bedrooms,,,,,,,,,,12,2017
2011,Other,4 or more Bedrooms,,,,,,,,,,12,2017
2011,Townhouse,Total,,,,,108,,,,,12,2017
2011,Townhouse,Bedsitter,,,,,,,,,,12,2017
2011,Townhouse,1 Bedroom,,,,,,,,,,12,2017
2011,Townhouse,Not Specified,,,,,,,,,,12,2017
2011,Townhouse,2 Bedrooms,,,,,34,,,,,12,2017
2011,Townhouse,3 Bedrooms,,,,,,,,,,12,2017
2011,Townhouse,4 or more Bedrooms,,,,,,,,,,12,2017
2011,Flat/Unit,Total,450,560,750,570,5849,1.82,4.67,-5.16,-12.31,12,2017
2011,Flat/Unit,Bedsitter,380,410,487.5,59,888,2.5,7.89,-33.71,-20.27,12,2017
2011,Flat/Unit,1 Bedroom,440,525,620,344,2645,0.96,-2.78,8.52,30.8,12,2017
2011,Flat/Unit,Not Specified,380,465,522.5,,776,1.09,10.71,-44.68,-84.43,12,2017
2011,Flat/Unit,2 Bedrooms,711.25,820,995,124,1312,2.5,2.5,-0.8,-1.59,12,2017
2011,Flat/Unit,3 Bedrooms,1258.75,1597.5,1718.75,,210,15.76,5.45,-27.27,-20.0,12,2017
2011,Flat/Unit,4 or more Bedrooms,,,,,,,,,,12,2017
2015,Total,Total,560,650,760,289,2421,3.17,4.84,3.2099999999999995,20.919999999999998,12,2017
2015,Total,Bedsitter,,,,,,,,,,12,2017
2015,Total,1 Bedroom,500,550,600,112,773,0.9199999999999999,1.8499999999999999,-4.2700000000000005,34.94,12,2017
2015,Total,Not Specified,642.5,690,750,,325,12.2,15.0,-50.0,-72.72999999999999,12,2017
2015,Total,2 Bedrooms,650,700,785,127,941,0,6.0600000000000005,30.930000000000003,64.94,12,2017
2015,Total,3 Bedrooms,797.5,900,1100,,293,-4.0,-5.26,-17.86,-17.86,12,2017
2015,Total,4 or more Bedrooms,1095,1475,1502.5,,66,9.26,22.919999999999998,50.0,140.0,12,2017
2015,House,Total,650,785,992.5,,196,-1.87,4.67,0,100,12,2017
2015,House,Bedsitter,,,,,,,,,,12,2017
2015,House,1 Bedroom,,,,,,,,,,12,2017
2015,House,Not Specified,,,,,,,,,,12,2017
2015,House,2 Bedrooms,650,730,792.5,,87,5.04,6.959999999999999,77.78,100,12,2017
2015,House,3 Bedrooms,,,,,61,,,,,12,2017
2015,House,4 or more Bedrooms,,,,,,,,,,12,2017
2015,Other,Total,655,702.5,795,,340,13.309999999999999,23.79,-33.33,-61.11,12,2017
2015,Other,Bedsitter,,,,,,,,,,12,2017
2015,Other,1 Bedroom,,,,,50,,,,,12,2017
2015,Other,Not Specified,,,,,199,,,,,12,2017
2015,Other,2 Bedrooms,,,,,56,,,,,12,2017
2015,Other,3 Bedrooms,,,,,,,,,,12,2017
2015,Other,4 or more Bedrooms,,,,,,,,,,12,2017
2015,Townhouse,Total,750,915,1150,,296,1.67,1.67,0,0,12,2017
2015,Townhouse,Bedsitter,,,,,,,,,,12,2017
2015,Townhouse,1 Bedroom,,,,,,,,,,12,2017
2015,Townhouse,Not Specified,,,,,,,,,,12,2017
2015,Townhouse,2 Bedrooms,,,,,109,,,,,12,2017
2015,Townhouse,3 Bedrooms,,,,,112,,,,,12,2017
2015,Townhouse,4 or more Bedrooms,,,,,31,,,,,12,2017
